index,Sector,Indicator,Unit,Country_code,Country,Year,Variable,Value
1,Oil and Gas,Oil and Gas activity: production,Mtoe,AR,Argentina,2025,projected_current_policy_min,68.4996
2,Oil and Gas,Oil and Gas activity: production,Mtoe,AR,Argentina,2025,projected_current_policy_min,88.6107
3,Electricity,Electricity activity (per capita),kWh / cap,AR,Argentina,2025,projected_current_policy_min,3033.24505
4,Electricity,Electricity activity (per capita),kWh / cap,AR,Argentina,2030,projected_current_policy_min,3562.21053
5,Electricity,Electricity activity (per capita),kWh / cap,AR,Argentina,2025,projected_current_policy_min,3033.24505
6,Electricity,Electricity activity (per capita),kWh / cap,AR,Argentina,2030,projected_current_policy_min,4281.951417
7,Electricity,Electricity emissions intensity,gCO2 / kWh,AR,Argentina,2015,projected_current_policy_min,0
8,Electricity,Electricity emissions intensity,gCO2 / kWh,AR,Argentina,2020,projected_current_policy_min,0
9,Electricity,Electricity emissions intensity,gCO2 / kWh,AR,Argentina,2025,projected_current_policy_min,154.4271529
10,Electricity,Electricity emissions intensity,gCO2 / kWh,AR,Argentina,2030,projected_current_policy_min,145.2513966
11,Electricity,Electricity emissions intensity,gCO2 / kWh,AR,Argentina,2015,projected_current_policy_min,0
12,Electricity,Electricity emissions intensity,gCO2 / kWh,AR,Argentina,2020,projected_current_policy_min,0
13,Electricity,Electricity emissions intensity,gCO2 / kWh,AR,Argentina,2025,projected_current_policy_min,201.8052746
14,Electricity,Electricity emissions intensity,gCO2 / kWh,AR,Argentina,2030,projected_current_policy_min,170.7827481
15,Electricity,Share of renewable electricity generation,% renewables,AR,Argentina,2015,projected_current_policy_min,31
16,Electricity,Share of renewable electricity generation,% renewables,AR,Argentina,2020,projected_current_policy_min,36
17,Electricity,Share of renewable electricity generation,% renewables,AR,Argentina,2025,projected_current_policy_min,46
18,Electricity,Share of renewable electricity generation,% renewables,AR,Argentina,2030,projected_current_policy_min,49
19,Electricity,Share of renewable electricity generation,% renewables,AR,Argentina,2015,projected_current_policy_min,31
20,Electricity,Share of renewable electricity generation,% renewables,AR,Argentina,2020,projected_current_policy_min,38.22222222
21,Electricity,Share of renewable electricity generation,% renewables,AR,Argentina,2025,projected_current_policy_min,51
22,Electricity,Share of renewable electricity generation,% renewables,AR,Argentina,2030,projected_current_policy_min,54
23,Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,Argentina,2015,projected_current_policy_min,2.327197909
24,Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,Argentina,2020,projected_current_policy_min,3.204727647
25,Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,Argentina,2025,projected_current_policy_min,5.586943224
26,Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,Argentina,2030,projected_current_policy_min,5.375076461
27,Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,Argentina,2015,projected_current_policy_min,2.327197909
28,Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,Argentina,2020,projected_current_policy_min,3.276427737
29,Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,Argentina,2025,projected_current_policy_min,5.039203692
30,Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,Argentina,2030,projected_current_policy_min,5.83106267
31,Transport Road,EVs per capita,EVs / 1000 cap,AR,Argentina,2025,projected_current_policy_min,1.284756886
32,Transport Road,EVs per capita,EVs / 1000 cap,AR,Argentina,2030,projected_current_policy_min,6.285061265
33,Transport Road,EVs per capita,EVs / 1000 cap,AR,Argentina,2025,projected_current_policy_min,1.284756886
34,Transport Road,EVs per capita,EVs / 1000 cap,AR,Argentina,2030,projected_current_policy_min,6.285061265
35,Forestry,Forest land area index,ha of forest (indexed to 1990),AR,Argentina,2015,projected_current_policy_min,0.78
36,Forestry,Forest land area index,ha of forest (indexed to 1990),AR,Argentina,2020,projected_current_policy_min,0.761
37,Forestry,Forest land area index,ha of forest (indexed to 1990),AR,Argentina,2025,projected_current_policy_min,0.752
38,Forestry,Forest land area index,ha of forest (indexed to 1990),AR,Argentina,2030,projected_current_policy_min,0.747
39,Forestry,Forest land area index,ha of forest (indexed to 1990),AR,Argentina,2015,projected_current_policy_min,0.78
40,Forestry,Forest land area index,ha of forest (indexed to 1990),AR,Argentina,2020,projected_current_policy_min,0.761
41,Forestry,Forest land area index,ha of forest (indexed to 1990),AR,Argentina,2025,projected_current_policy_min,0.752
42,Forestry,Forest land area index,ha of forest (indexed to 1990),AR,Argentina,2030,projected_current_policy_min,0.747
43,Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,AR,Argentina,2020,projected_current_policy_min,657.39
44,Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,AR,Argentina,2025,projected_current_policy_min,642.21
45,Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,AR,Argentina,2020,projected_current_policy_min,657.39
46,Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,AR,Argentina,2025,projected_current_policy_min,642.21
47,Agriculture,Agriculture activity (meat): production,meat kg / cap / day,AR,Argentina,2020,projected_current_policy_min,0.365
48,Agriculture,Agriculture activity (meat): production,meat kg / cap / day,AR,Argentina,2025,projected_current_policy_min,0.374
49,Agriculture,Agriculture activity (meat): production,meat kg / cap / day,AR,Argentina,2020,projected_current_policy_min,0.365
50,Agriculture,Agriculture activity (meat): production,meat kg / cap / day,AR,Argentina,2025,projected_current_policy_min,0.374
51,Waste,Waste generation (per capita),t waste / cap,AR,Argentina,2015,projected_current_policy_min,0.361047728
52,Waste,Waste generation (per capita),t waste / cap,AR,Argentina,2020,projected_current_policy_min,0.371749928
53,Waste,Waste generation (per capita),t waste / cap,AR,Argentina,2025,projected_current_policy_min,0.381279562
54,Waste,Waste generation (per capita),t waste / cap,AR,Argentina,2030,projected_current_policy_min,0.389700359
55,Waste,Waste generation (per capita),t waste / cap,AR,Argentina,2015,projected_current_policy_min,0.361047728
56,Waste,Waste generation (per capita),t waste / cap,AR,Argentina,2020,projected_current_policy_min,0.371749928
57,Waste,Waste generation (per capita),t waste / cap,AR,Argentina,2025,projected_current_policy_min,0.381279562
58,Waste,Waste generation (per capita),t waste / cap,AR,Argentina,2030,projected_current_policy_min,0.389700359
59,Macro,Emissions per capita,tCO2e / cap,AR,Argentina,2015,projected_current_policy_min,7.945890546
60,Macro,Emissions per capita,tCO2e / cap,AR,Argentina,2020,projected_current_policy_min,8.608379518
61,Macro,Emissions per capita,tCO2e / cap,AR,Argentina,2025,projected_current_policy_min,9.227897116
62,Macro,Emissions per capita,tCO2e / cap,AR,Argentina,2030,projected_current_policy_min,9.928609707
63,Macro,Emissions per capita,tCO2e / cap,AR,Argentina,2015,projected_current_policy_min,7.945890546
64,Macro,Emissions per capita,tCO2e / cap,AR,Argentina,2020,projected_current_policy_min,8.608379518
65,Macro,Emissions per capita,tCO2e / cap,AR,Argentina,2025,projected_current_policy_min,9.227897116
66,Macro,Emissions per capita,tCO2e / cap,AR,Argentina,2030,projected_current_policy_min,9.928609707
67,Macro,GDP per capita,thousand USD2012 (PPP) / cap,AR,Argentina,2015,projected_current_policy_min,19.45315312
68,Macro,GDP per capita,thousand USD2012 (PPP) / cap,AR,Argentina,2020,projected_current_policy_min,20.17094928
69,Macro,GDP per capita,thousand USD2012 (PPP) / cap,AR,Argentina,2015,projected_current_policy_min,19.45315312
70,Macro,GDP per capita,thousand USD2012 (PPP) / cap,AR,Argentina,2020,projected_current_policy_min,20.17094928
71,Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),AR,Argentina,2015,projected_current_policy_min,0.408462859
72,Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),AR,Argentina,2020,projected_current_policy_min,0.426771165
73,Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),AR,Argentina,2015,projected_current_policy_min,0.408462859
74,Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),AR,Argentina,2020,projected_current_policy_min,0.426771165
75,Industry Cement,Cement activity: production per capita,t product / cap,BR,Brazil,2015,projected_current_policy_min,0.342799362
76,Industry Cement,Cement activity: production per capita,t product / cap,BR,Brazil,2020,projected_current_policy_min,0.333337941
77,Industry Cement,Cement activity: production per capita,t product / cap,BR,Brazil,2030,projected_current_policy_min,0.463563776
78,Industry Cement,Cement activity: production per capita,t product / cap,BR,Brazil,2050,projected_current_policy_min,0.549795575
79,Industry Cement,Cement activity: production per capita,t product / cap,BR,Brazil,2015,projected_current_policy_min,0.347124107
80,Industry Cement,Cement activity: production per capita,t product / cap,BR,Brazil,2020,projected_current_policy_min,0.338651415
81,Industry Cement,Cement activity: production per capita,t product / cap,BR,Brazil,2030,projected_current_policy_min,0.474109591
82,Industry Cement,Cement activity: production per capita,t product / cap,BR,Brazil,2050,projected_current_policy_min,0.579397338
83,Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,Brazil,2015,projected_current_policy_min,532.3508772
84,Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,Brazil,2020,projected_current_policy_min,581.3055556
85,Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,Brazil,2030,projected_current_policy_min,465.1132075
86,Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,Brazil,2050,projected_current_policy_min,497.8778626
87,Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,Brazil,2015,projected_current_policy_min,532.3508772
88,Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,Brazil,2020,projected_current_policy_min,581.3055556
89,Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,Brazil,2030,projected_current_policy_min,465.1132075
90,Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,Brazil,2050,projected_current_policy_min,497.8778626
91,Industry Steel,Steel Activity: production per capita,t product / cap,BR,Brazil,2015,projected_current_policy_min,0.187637546
92,Industry Steel,Steel Activity: production per capita,t product / cap,BR,Brazil,2020,projected_current_policy_min,0.194447132
93,Industry Steel,Steel Activity: production per capita,t product / cap,BR,Brazil,2030,projected_current_policy_min,0.271141076
94,Industry Steel,Steel Activity: production per capita,t product / cap,BR,Brazil,2050,projected_current_policy_min,0.339949936
95,Industry Steel,Steel Activity: production per capita,t product / cap,BR,Brazil,2015,projected_current_policy_min,0.190004774
96,Industry Steel,Steel Activity: production per capita,t product / cap,BR,Brazil,2020,projected_current_policy_min,0.197546659
97,Industry Steel,Steel Activity: production per capita,t product / cap,BR,Brazil,2030,projected_current_policy_min,0.277309383
98,Industry Steel,Steel Activity: production per capita,t product / cap,BR,Brazil,2050,projected_current_policy_min,0.358253316
99,Electricity,Electricity activity (per capita),kWh / cap,BR,Brazil,2020,projected_current_policy_min,2815.020397
100,Electricity,Electricity activity (per capita),kWh / cap,BR,Brazil,2025,projected_current_policy_min,2839.828704
101,Electricity,Electricity activity (per capita),kWh / cap,BR,Brazil,2030,projected_current_policy_min,2879.312689
102,Electricity,Electricity activity (per capita),kWh / cap,BR,Brazil,2050,projected_current_policy_min,3243.751923
103,Electricity,Electricity activity (per capita),kWh / cap,BR,Brazil,2015,projected_current_policy_min,2085.540912
104,Electricity,Electricity activity (per capita),kWh / cap,BR,Brazil,2020,projected_current_policy_min,3244.561793
105,Electricity,Electricity activity (per capita),kWh / cap,BR,Brazil,2025,projected_current_policy_min,4341.971728
106,Electricity,Electricity activity (per capita),kWh / cap,BR,Brazil,2030,projected_current_policy_min,4831.096178
107,Electricity,Electricity emissions intensity,gCO2 / kWh,BR,Brazil,2015,projected_current_policy_min,210.1853631
108,Electricity,Electricity emissions intensity,gCO2 / kWh,BR,Brazil,2020,projected_current_policy_min,109.051787
109,Electricity,Electricity emissions intensity,gCO2 / kWh,BR,Brazil,2025,projected_current_policy_min,63.77107543
110,Electricity,Electricity emissions intensity,gCO2 / kWh,BR,Brazil,2030,projected_current_policy_min,60.27876541
111,Electricity,Electricity emissions intensity,gCO2 / kWh,BR,Brazil,2025,projected_current_policy_min,78.01463801
112,Electricity,Electricity emissions intensity,gCO2 / kWh,BR,Brazil,2030,projected_current_policy_min,80.80280319
113,Electricity,Share of renewable electricity generation,% renewables,BR,Brazil,2020,projected_current_policy_min,80.94175345
114,Electricity,Share of renewable electricity generation,% renewables,BR,Brazil,2030,projected_current_policy_min,75.16680767
115,Electricity,Share of renewable electricity generation,% renewables,BR,Brazil,2050,projected_current_policy_min,66.10216202
116,Electricity,Share of renewable electricity generation,% renewables,BR,Brazil,2015,projected_current_policy_min,74.01653643
117,Electricity,Share of renewable electricity generation,% renewables,BR,Brazil,2020,projected_current_policy_min,79.1767228
118,Electricity,Share of renewable electricity generation,% renewables,BR,Brazil,2025,projected_current_policy_min,83.28620219
119,Electricity,Share of renewable electricity generation,% renewables,BR,Brazil,2030,projected_current_policy_min,83.12253097
120,Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,Brazil,2020,projected_current_policy_min,2.343595238
121,Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,Brazil,2025,projected_current_policy_min,2.350114286
122,Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,Brazil,2030,projected_current_policy_min,2.356633333
123,Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,Brazil,2050,projected_current_policy_min,2.432842857
124,Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,Brazil,2015,projected_current_policy_min,2.048714286
125,Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,Brazil,2020,projected_current_policy_min,2.471709524
126,Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,Brazil,2025,projected_current_policy_min,2.894704762
127,Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,Brazil,2030,projected_current_policy_min,3.299477619
128,Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,Brazil,2015,projected_current_policy_min,68.97322348
129,Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,Brazil,2020,projected_current_policy_min,71.23394891
130,Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,Brazil,2025,projected_current_policy_min,73.45631551
131,Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,Brazil,2030,projected_current_policy_min,73.37878319
132,Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,Brazil,2050,projected_current_policy_min,73.57993418
133,Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,Brazil,2015,projected_current_policy_min,68.97322348
134,Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,Brazil,2020,projected_current_policy_min,71.23394891
135,Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,Brazil,2025,projected_current_policy_min,73.45631551
136,Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,Brazil,2030,projected_current_policy_min,73.37878319
137,Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,Brazil,2050,projected_current_policy_min,73.57993418
138,Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,Brazil,2015,projected_current_policy_min,0.112676112
139,Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,Brazil,2020,projected_current_policy_min,0.10867421
140,Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,Brazil,2025,projected_current_policy_min,0.103287772
141,Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,Brazil,2030,projected_current_policy_min,0.10042618
142,Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,Brazil,2050,projected_current_policy_min,0.097514912
143,Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,Brazil,2015,projected_current_policy_min,0.112676112
144,Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,Brazil,2020,projected_current_policy_min,0.10867421
145,Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,Brazil,2025,projected_current_policy_min,0.103287772
