ID,Sector,Indicator,Unit,Country_code,Country,Year,Variable,Value
1,Oil_and_Gas,Oil_and_Gas_activity:_production,Mtoe,AR,Argentina,2025,projected_current_policy_min,68.4996
2,Oil_and_Gas,Oil_and_Gas_activity:_production,Mtoe,AR,Argentina,2025,projected_current_policy_min,88.6107
3,Electricity,Electricity_activity_(per_capita),kWh_/_cap,AR,Argentina,2025,projected_current_policy_min,3033.24505
4,Electricity,Electricity_activity_(per_capita),kWh_/_cap,AR,Argentina,2030,projected_current_policy_min,3562.21053
5,Electricity,Electricity_activity_(per_capita),kWh_/_cap,AR,Argentina,2025,projected_current_policy_min,3033.24505
6,Electricity,Electricity_activity_(per_capita),kWh_/_cap,AR,Argentina,2030,projected_current_policy_min,4281.951417
7,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,AR,Argentina,2025,projected_current_policy_min,154.4271529
8,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,AR,Argentina,2030,projected_current_policy_min,145.2513966
9,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,AR,Argentina,2025,projected_current_policy_min,201.8052746
10,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,AR,Argentina,2030,projected_current_policy_min,170.7827481
11,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2015,projected_current_policy_min,31
12,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2020,projected_current_policy_min,36
13,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2025,projected_current_policy_min,46
14,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2030,projected_current_policy_min,49
15,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2015,projected_current_policy_min,31
16,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2020,projected_current_policy_min,38.22222222
17,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2025,projected_current_policy_min,51
18,Electricity,Share_of_renewable_electricity_generation,%_renewables,AR,Argentina,2030,projected_current_policy_min,54
19,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2015,projected_current_policy_min,2.327197909
20,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2020,projected_current_policy_min,3.204727647
21,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2025,projected_current_policy_min,5.586943224
22,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2030,projected_current_policy_min,5.375076461
23,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2015,projected_current_policy_min,2.327197909
24,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2020,projected_current_policy_min,3.276427737
25,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2025,projected_current_policy_min,5.039203692
26,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,AR,Argentina,2030,projected_current_policy_min,5.83106267
27,Transport_Road,EVs_per_capita,EVs_/_1000_cap,AR,Argentina,2025,projected_current_policy_min,1.284756886
28,Transport_Road,EVs_per_capita,EVs_/_1000_cap,AR,Argentina,2030,projected_current_policy_min,6.285061265
29,Transport_Road,EVs_per_capita,EVs_/_1000_cap,AR,Argentina,2025,projected_current_policy_min,1.284756886
30,Transport_Road,EVs_per_capita,EVs_/_1000_cap,AR,Argentina,2030,projected_current_policy_min,6.285061265
31,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2015,projected_current_policy_min,0.78
32,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2020,projected_current_policy_min,0.761
33,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2025,projected_current_policy_min,0.752
34,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2030,projected_current_policy_min,0.747
35,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2015,projected_current_policy_min,0.78
36,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2020,projected_current_policy_min,0.761
37,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2025,projected_current_policy_min,0.752
38,Forestry,Forest_land_area_index,ha_of_forest_(indexed_to_1990),AR,Argentina,2030,projected_current_policy_min,0.747
39,Agriculture,Agriculture_activity_(meat):_consumption,meat_kcal_/_cap_/_day,AR,Argentina,2020,projected_current_policy_min,657.39
40,Agriculture,Agriculture_activity_(meat):_consumption,meat_kcal_/_cap_/_day,AR,Argentina,2025,projected_current_policy_min,642.21
41,Agriculture,Agriculture_activity_(meat):_consumption,meat_kcal_/_cap_/_day,AR,Argentina,2020,projected_current_policy_min,657.39
42,Agriculture,Agriculture_activity_(meat):_consumption,meat_kcal_/_cap_/_day,AR,Argentina,2025,projected_current_policy_min,642.21
43,Agriculture,Agriculture_activity_(meat):_production,meat_kg_/_cap_/_day,AR,Argentina,2020,projected_current_policy_min,0.365
44,Agriculture,Agriculture_activity_(meat):_production,meat_kg_/_cap_/_day,AR,Argentina,2025,projected_current_policy_min,0.374
45,Agriculture,Agriculture_activity_(meat):_production,meat_kg_/_cap_/_day,AR,Argentina,2020,projected_current_policy_min,0.365
46,Agriculture,Agriculture_activity_(meat):_production,meat_kg_/_cap_/_day,AR,Argentina,2025,projected_current_policy_min,0.374
47,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2015,projected_current_policy_min,0.361047728
48,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2020,projected_current_policy_min,0.371749928
49,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2025,projected_current_policy_min,0.381279562
50,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2030,projected_current_policy_min,0.389700359
51,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2015,projected_current_policy_min,0.361047728
52,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2020,projected_current_policy_min,0.371749928
53,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2025,projected_current_policy_min,0.381279562
54,Waste,Waste_generation_(per_capita),t_waste_/_cap,AR,Argentina,2030,projected_current_policy_min,0.389700359
55,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2015,projected_current_policy_min,7.945890546
56,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2020,projected_current_policy_min,8.608379518
57,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2025,projected_current_policy_min,9.227897116
58,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2030,projected_current_policy_min,9.928609707
59,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2015,projected_current_policy_min,7.945890546
60,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2020,projected_current_policy_min,8.608379518
61,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2025,projected_current_policy_min,9.227897116
62,Macro,Emissions_per_capita,tCO2e_/_cap,AR,Argentina,2030,projected_current_policy_min,9.928609707
63,Macro,GDP_per_capita,thousand_USD2012_(PPP)_/_cap,AR,Argentina,2015,projected_current_policy_min,19.45315312
64,Macro,GDP_per_capita,thousand_USD2012_(PPP)_/_cap,AR,Argentina,2020,projected_current_policy_min,20.17094928
65,Macro,GDP_per_capita,thousand_USD2012_(PPP)_/_cap,AR,Argentina,2015,projected_current_policy_min,19.45315312
66,Macro,GDP_per_capita,thousand_USD2012_(PPP)_/_cap,AR,Argentina,2020,projected_current_policy_min,20.17094928
67,Macro,Emissions_intensity_of_GDP,tCO2e_/_thsd._USD2012_(PPP),AR,Argentina,2015,projected_current_policy_min,0.408462859
68,Macro,Emissions_intensity_of_GDP,tCO2e_/_thsd._USD2012_(PPP),AR,Argentina,2020,projected_current_policy_min,0.426771165
69,Macro,Emissions_intensity_of_GDP,tCO2e_/_thsd._USD2012_(PPP),AR,Argentina,2015,projected_current_policy_min,0.408462859
70,Macro,Emissions_intensity_of_GDP,tCO2e_/_thsd._USD2012_(PPP),AR,Argentina,2020,projected_current_policy_min,0.426771165
71,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2015,projected_current_policy_min,0.342799362
72,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2020,projected_current_policy_min,0.333337941
73,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2030,projected_current_policy_min,0.463563776
74,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2050,projected_current_policy_min,0.549795575
75,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2015,projected_current_policy_min,0.347124107
76,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2020,projected_current_policy_min,0.338651415
77,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2030,projected_current_policy_min,0.474109591
78,Industry_Cement,Cement_activity:_production_per_capita,t_product_/_cap,BR,Brazil,2050,projected_current_policy_min,0.579397338
79,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2015,projected_current_policy_min,532.3508772
80,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2020,projected_current_policy_min,581.3055556
81,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2030,projected_current_policy_min,465.1132075
82,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2050,projected_current_policy_min,497.8778626
83,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2015,projected_current_policy_min,532.3508772
84,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2020,projected_current_policy_min,581.3055556
85,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2030,projected_current_policy_min,465.1132075
86,Industry_Cement,Cement_emissions_intensity,kg_CO2_/_t_product,BR,Brazil,2050,projected_current_policy_min,497.8778626
87,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2015,projected_current_policy_min,0.187637546
88,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2020,projected_current_policy_min,0.194447132
89,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2030,projected_current_policy_min,0.271141076
90,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2050,projected_current_policy_min,0.339949936
91,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2015,projected_current_policy_min,0.190004774
92,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2020,projected_current_policy_min,0.197546659
93,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2030,projected_current_policy_min,0.277309383
94,Industry_Steel,Steel_Activity:_production_per_capita,t_product_/_cap,BR,Brazil,2050,projected_current_policy_min,0.358253316
95,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2020,projected_current_policy_min,2815.020397
96,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2025,projected_current_policy_min,2839.828704
97,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2030,projected_current_policy_min,2879.312689
98,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2050,projected_current_policy_min,3243.751923
99,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2015,projected_current_policy_min,2085.540912
100,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2020,projected_current_policy_min,3244.561793
101,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2025,projected_current_policy_min,4341.971728
102,Electricity,Electricity_activity_(per_capita),kWh_/_cap,BR,Brazil,2030,projected_current_policy_min,4831.096178
103,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,BR,Brazil,2015,projected_current_policy_min,210.1853631
104,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,BR,Brazil,2020,projected_current_policy_min,109.051787
105,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,BR,Brazil,2025,projected_current_policy_min,63.77107543
106,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,BR,Brazil,2030,projected_current_policy_min,60.27876541
107,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,BR,Brazil,2025,projected_current_policy_min,78.01463801
108,Electricity,Electricity_emissions_intensity,gCO2_/_kWh,BR,Brazil,2030,projected_current_policy_min,80.80280319
109,Electricity,Share_of_renewable_electricity_generation,%_renewables,BR,Brazil,2020,projected_current_policy_min,80.94175345
110,Electricity,Share_of_renewable_electricity_generation,%_renewables,BR,Brazil,2030,projected_current_policy_min,75.16680767
111,Electricity,Share_of_renewable_electricity_generation,%_renewables,BR,Brazil,2050,projected_current_policy_min,66.10216202
112,Electricity,Share_of_renewable_electricity_generation,%_renewables,BR,Brazil,2015,projected_current_policy_min,74.01653643
113,Electricity,Share_of_renewable_electricity_generation,%_renewables,BR,Brazil,2020,projected_current_policy_min,79.1767228
114,Electricity,Share_of_renewable_electricity_generation,%_renewables,BR,Brazil,2025,projected_current_policy_min,83.28620219
115,Electricity,Share_of_renewable_electricity_generation,%_renewables,BR,Brazil,2030,projected_current_policy_min,83.12253097
116,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,BR,Brazil,2020,projected_current_policy_min,2.343595238
117,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,BR,Brazil,2025,projected_current_policy_min,2.350114286
118,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,BR,Brazil,2030,projected_current_policy_min,2.356633333
119,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,BR,Brazil,2050,projected_current_policy_min,2.432842857
120,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,BR,Brazil,2015,projected_current_policy_min,2.048714286
121,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,BR,Brazil,2020,projected_current_policy_min,2.471709524
122,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,BR,Brazil,2025,projected_current_policy_min,2.894704762
123,Electricity,Renewable_energy_generation_(index),1990_value_normalised_to_1,BR,Brazil,2030,projected_current_policy_min,3.299477619
124,Transport_Road,Modal_split:_share_of_private_passenger_transport,%_private_cars_and_motorcycles,BR,Brazil,2015,projected_current_policy_min,68.97322348
125,Transport_Road,Modal_split:_share_of_private_passenger_transport,%_private_cars_and_motorcycles,BR,Brazil,2020,projected_current_policy_min,71.23394891
126,Transport_Road,Modal_split:_share_of_private_passenger_transport,%_private_cars_and_motorcycles,BR,Brazil,2025,projected_current_policy_min,73.45631551
127,Transport_Road,Modal_split:_share_of_private_passenger_transport,%_private_cars_and_motorcycles,BR,Brazil,2030,projected_current_policy_min,73.37878319
128,Transport_Road,Modal_split:_share_of_private_passenger_transport,%_private_cars_and_motorcycles,BR,Brazil,2050,projected_current_policy_min,73.57993418
129,Transport_Road,Modal_split:_share_of_private_passenger_transport,%_private_cars_and_motorcycles,BR,Brazil,2015,projected_current_policy_min,68.97322348
130,Transport_Road,Modal_split:_share_of_private_passenger_transport,%_private_cars_and_motorcycles,BR,Brazil,2020,projected_current_policy_min,71.23394891
131,Transport_Road,Modal_split:_share_of_private_passenger_transport,%_private_cars_and_motorcycles,BR,Brazil,2025,projected_current_policy_min,73.45631551
